# CHAOS-8.1 ionospheric field model
# Extracted on 2024-10-21 10:26:57.470206
#
# NOTE: The format of this file is identical to the AMPS model
# coefficient file, which includes both toroidal and poloidal fields.
# Since the toroidal part is not co-estimated in CHAOS-8, the
# corresponding coefficients are set to zero.
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
#
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
51 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
51 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
51 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
51 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
52 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
52 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
52 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
52 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
53 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
53 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
53 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
53 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
54 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
54 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
54 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
54 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
55 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
55 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
55 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
55 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
56 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
56 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
56 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
56 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
57 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
57 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
57 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
57 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
58 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
58 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
58 2 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
58 3 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
59 0 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN 0.0000000       NaN        NaN        NaN
59 1 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN 0.0000000 0.0000000        NaN        NaN
